Date;Sex;AnimalIdentifier;Weight;Color;Feet;Head;Type;FeatherColor
30/04/2020;Male;0;637;Blue;;;;
30/04/2020;Male;0;686;Black;;;;
30/04/2020;Male;0;702;;;;;
30/04/2020;Male;0;740;;;;;
30/04/2020;Male;0;740;;;;;
30/04/2020;Male;0;744;;;;;
30/04/2020;Male;0;808;;;;;
30/04/2020;Male;0;813;;;;;
30/04/2020;Male;0;849;;;;;
30/04/2020;Male;0;866;;;;;
30/04/2020;Male;0;874;;;;;
30/04/2020;Male;0;946;;;;;
30/04/2020;Male;0;1182;;;;;
30/04/2020;Male;0;1390;;;;;
30/04/2020;Male;0;1472;;;;;
30/04/2020;Male;0;1478;;;;;
08/08/2020;Female;979;2750;;;;;
08/08/2020;Female;991;2465;;;;;
08/08/2020;Female;983;2580;;;;;
08/08/2020;Female;966;2665;;;;;
08/08/2020;Female;968;2535;;;;;
08/08/2020;Female;980;2635;;;;;
08/08/2020;Female;1004;1845;;;;;
08/08/2020;Female;1033;2660;;;;;
08/08/2020;Female;986;2300;;;;;
08/08/2020;Female;1008;2220;;;;;
08/08/2020;Female;998;2395;;;;;
08/08/2020;Female;1029;2180;;;;;
08/08/2020;Female;989;2325;;;;;
08/08/2020;Female;996;1860;;;;;
08/08/2020;Female;984;2350;;;;;
08/08/2020;Female;981;2480;;;;;
08/08/2020;Female;1031;2490;;;;;
08/08/2020;Female;965;2405;;;;;
08/08/2020;Female;1005;2165;;;;;
08/08/2020;Female;993;2245;;;;;
08/08/2020;Female;982;2170;;;;;
08/08/2020;Female;987;2235;;;;;
08/08/2020;Female;1002;2230;;;;;
08/08/2020;Female;977;2270;;;;;
08/08/2020;Female;1028;2650;;;;;
08/08/2020;Female;961;2320;;;;;
08/08/2020;Female;973;2215;;;;;
08/08/2020;Female;978;2125;;;;;
08/08/2020;Female;990;2245;;;;;
08/08/2020;Female;985;2170;;;;;
08/08/2020;Male;293;3600;;;;;
08/08/2020;Male;278;3310;;;;;
08/08/2020;Male;289;3935;;;;;
08/08/2020;Male;225;2810;;;;;
08/08/2020;Male;257;3385;;;;;
08/08/2020;Male;282;2750;;;;;
08/08/2020;Male;1026;3300;;;;;
08/08/2020;Male;292;3275;;;;;
08/08/2020;Male;963;3425;;;;;
08/08/2020;Male;223;3110;;;;;
08/08/2020;Male;286;3235;;;;;
08/08/2020;Male;222;3200;;;;;
08/08/2020;Male;224;3305;;;;;
08/08/2020;Male;251;3400;;;;;
08/08/2020;Male;284;3150;;;;;
29/08/2020;Female;977;2460;Black;5;4;5;4
29/08/2020;Female;993;2400;Blue;3;3;3;5
29/08/2020;Female;981;2805;Black;4;5;4;5
29/08/2020;Female;991;2602;Blue;3;4;3;5
29/08/2020;Female;980;2810;Black;4;4;5;5
29/08/2020;Female;1028;3035;Black;4;5;5;5
29/08/2020;Female;1033;2660;Black;5;5;5;5
29/08/2020;Female;968;2665;Black;5;5;4;4
29/08/2020;Female;983;2780;Black;5;2;5;2
29/08/2020;Female;987;2485;Blue;5;3;3;5
29/08/2020;Female;966;2820;Black;2;2;5;5
29/08/2020;Female;989;2580;Blue;4;3;4;5
29/08/2020;Female;965;2815;Black;4;2;5;2
29/08/2020;Female;1008;2355;Blue;5;3;3;5
29/08/2020;Female;998;2420;Black;4;2;4;3
29/08/2020;Female;1031;2690;Black;5;5;5;2
29/08/2020;Female;985;2355;Blue;5;2;3;5
29/08/2020;Female;986;2300;Blue;5;4;3;5
29/08/2020;Female;979;2910;Blue;5;5;4;4
29/08/2020;Female;990;2460;Blue;3;5;4;4
29/08/2020;Female;1002;2335;Black;5;4;5;4
29/08/2020;Female;982;2120;Blue;5;3;3;5
29/08/2020;Female;1005;2405;Black;4;3;3;4
29/08/2020;Female;1029;2365;Blue;4;4;4;5
29/08/2020;Female;973;2445;Black;4;3;3;5
29/08/2020;Female;984;2385;Black;5;5;4;5
29/08/2020;Female;978;2275;Black;4;3;1;3
29/08/2020;Female;961;2465;Blue;5;5;5;5
29/08/2020;Female;996;1960;Blue;4;3;1;2
29/08/2020;Male;293;3675;Blue;4;5;5;4
29/08/2020;Male;289;4350;Blue;5;5;;4
29/08/2020;Male;251;3795;Blue;4;4;3;5
29/08/2020;Male;224;3450;Blue;4;3;3;5
29/08/2020;Male;257;3980;Black;3;5;4;5
29/08/2020;Male;223;3460;Black;3;3;5;5
29/08/2020;Male;963;3680;Black;4;5;5;5
29/08/2020;Male;278;3595;Black;5;5;5;5
06/09/2020;Male;1706;4000;;;;;
06/09/2020;Female;5177;3420;;;;;
06/09/2020;Female;5182;3790;;;;;
